J,S,d
0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,0
0,7,0
0,8,0
0,9,0
0,10,0
-8,1,0
-8,2,0
-8,3,0
-8,4,0
-8,5,0
-8,6,0
-8,7,0
-8,8,0
-8,9,0
-8,10,0
-7,1,0
-7,2,0
-7,3,0
-7,4,0
-7,5,0
-7,6,0
-7,7,0
-7,8,0
-7,9,0
-7,10,0
-6,1,0
-6,2,0
-6,3,0
-6,4,0
-6,5,0
-6,6,0
-6,7,0
-6,8,0
-6,9,0
-6,10,0
-5,1,0
-5,2,0
-5,3,0
-5,4,0
-5,5,0
-5,6,0
-5,7,0
-5,8,0
-5,9,0
-5,10,0
-4,1,0
-4,2,0
-4,3,0
-4,4,0
-4,5,0
-4,6,0
-4,7,0
-4,8,0
-4,9,0
-4,10,0
-3,1,0
-3,2,0
-3,3,0
-3,4,0
-3,5,0
-3,6,0
-3,7,0
-3,8,0
-3,9,0
-3,10,0
-2,1,0
-2,2,0
-2,3,0
-2,4,0
-2,5,0
-2,6,0
-2,7,0
-2,8,0
-2,9,0
-2,10,0
-1,1,0
-1,2,0
-1,3,0
-1,4,0
-1,5,0
-1,6,0
-1,7,0
-1,8,0
-1,9,0
-1,10,0
1,1,10
1,2,10
1,3,50
1,4,10
1,5,70
1,6,30
1,7,30
1,8,70
1,9,50
1,10,70
2,1,70
2,2,50
2,3,30
2,4,70
2,5,30
2,6,10
2,7,50
2,8,50
2,9,50
2,10,50
3,1,70
3,2,10
3,3,70
3,4,50
3,5,70
3,6,10
3,7,50
3,8,10
3,9,70
3,10,10
4,1,10
4,2,30
4,3,70
4,4,10
4,5,70
4,6,50
4,7,10
4,8,50
4,9,70
4,10,50
5,1,30
5,2,10
5,3,50
5,4,30
5,5,10
5,6,70
5,7,70
5,8,50
5,9,30
5,10,70
6,1,30
6,2,30
6,3,70
6,4,50
6,5,50
6,6,50
6,7,30
6,8,50
6,9,30
6,10,50
7,1,10
7,2,30
7,3,30
7,4,50
7,5,30
7,6,30
7,7,50
7,8,70
7,9,70
7,10,70
8,1,30
8,2,50
8,3,30
8,4,30
8,5,30
8,6,30
8,7,30
8,8,30
8,9,50
8,10,50
