J,S,d
0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,0
0,7,0
0,8,0
0,9,0
0,10,0
-7,1,0
-7,2,0
-7,3,0
-7,4,0
-7,5,0
-7,6,0
-7,7,0
-7,8,0
-7,9,0
-7,10,0
-6,1,0
-6,2,0
-6,3,0
-6,4,0
-6,5,0
-6,6,0
-6,7,0
-6,8,0
-6,9,0
-6,10,0
-5,1,0
-5,2,0
-5,3,0
-5,4,0
-5,5,0
-5,6,0
-5,7,0
-5,8,0
-5,9,0
-5,10,0
-4,1,0
-4,2,0
-4,3,0
-4,4,0
-4,5,0
-4,6,0
-4,7,0
-4,8,0
-4,9,0
-4,10,0
-3,1,0
-3,2,0
-3,3,0
-3,4,0
-3,5,0
-3,6,0
-3,7,0
-3,8,0
-3,9,0
-3,10,0
-2,1,0
-2,2,0
-2,3,0
-2,4,0
-2,5,0
-2,6,0
-2,7,0
-2,8,0
-2,9,0
-2,10,0
-1,1,0
-1,2,0
-1,3,0
-1,4,0
-1,5,0
-1,6,0
-1,7,0
-1,8,0
-1,9,0
-1,10,0
1,1,70
1,2,70
1,3,70
1,4,50
1,5,50
1,6,50
1,7,40
1,8,40
1,9,70
1,10,20
2,1,50
2,2,50
2,3,50
2,4,50
2,5,40
2,6,30
2,7,40
2,8,30
2,9,10
2,10,70
3,1,40
3,2,20
3,3,10
3,4,40
3,5,20
3,6,40
3,7,20
3,8,10
3,9,60
3,10,40
4,1,20
4,2,50
4,3,50
4,4,40
4,5,70
4,6,60
4,7,60
4,8,60
4,9,40
4,10,40
5,1,60
5,2,30
5,3,50
5,4,30
5,5,40
5,6,50
5,7,40
5,8,50
5,9,30
5,10,30
6,1,30
6,2,50
6,3,20
6,4,20
6,5,30
6,6,60
6,7,20
6,8,50
6,9,30
6,10,70
7,1,40
7,2,30
7,3,20
7,4,50
7,5,60
7,6,20
7,7,50
7,8,10
7,9,60
7,10,60
