I,S,a0,a1
1,1,100,5
1,2,100,5
1,3,100,5
1,4,100,15
1,5,100,15
1,6,100,15
1,7,100,20
1,8,100,20
1,9,100,5
1,10,100,30
2,1,100,15
2,2,100,15
2,3,100,15
2,4,100,15
2,5,100,20
2,6,100,25
2,7,100,20
2,8,100,25
2,9,100,35
2,10,100,5
3,1,100,20
3,2,100,30
3,3,100,35
3,4,100,20
3,5,100,30
3,6,100,20
3,7,100,30
3,8,100,35
3,9,100,10
3,10,100,20
4,1,100,30
4,2,100,15
4,3,100,15
4,4,100,20
4,5,100,5
4,6,100,10
4,7,100,10
4,8,100,10
4,9,100,20
4,10,100,20
5,1,100,10
5,2,100,25
5,3,100,15
5,4,100,25
5,5,100,20
5,6,100,15
5,7,100,20
5,8,100,15
5,9,100,25
5,10,100,25
6,1,100,25
6,2,100,15
6,3,100,30
6,4,100,30
6,5,100,25
6,6,100,10
6,7,100,30
6,8,100,15
6,9,100,25
6,10,100,5
7,1,100,20
7,2,100,25
7,3,100,30
7,4,100,15
7,5,100,10
7,6,100,30
7,7,100,15
7,8,100,35
7,9,100,10
7,10,100,10
8,1,100,25
8,2,100,30
8,3,100,30
8,4,100,30
8,5,100,35
8,6,100,30
8,7,100,30
8,8,100,25
8,9,100,10
8,10,100,35
9,1,100,10
9,2,100,10
9,3,100,30
9,4,100,5
9,5,100,20
9,6,100,15
9,7,100,25
9,8,100,10
9,9,100,5
9,10,100,35
10,1,100,5
10,2,100,20
10,3,100,20
10,4,100,20
10,5,100,10
10,6,100,5
10,7,100,30
10,8,100,15
10,9,100,30
10,10,100,20
11,1,100,35
11,2,100,35
11,3,100,30
11,4,100,25
11,5,100,10
11,6,100,30
11,7,100,30
11,8,100,30
11,9,100,20
11,10,100,20
12,1,100,30
12,2,100,5
12,3,100,30
12,4,100,10
12,5,100,20
12,6,100,10
12,7,100,20
12,8,100,5
12,9,100,5
12,10,100,25
13,1,100,30
13,2,100,15
13,3,100,30
13,4,100,20
13,5,100,35
13,6,100,25
13,7,100,35
13,8,100,25
13,9,100,20
13,10,100,30
14,1,100,10
14,2,100,5
14,3,100,30
14,4,100,30
14,5,100,30
14,6,100,30
14,7,100,10
14,8,100,10
14,9,100,10
14,10,100,35
15,1,100,20
15,2,100,30
15,3,100,10
15,4,100,25
15,5,100,10
15,6,100,15
15,7,100,20
15,8,100,25
15,9,100,15
15,10,100,25
16,1,100,30
16,2,100,15
16,3,100,25
16,4,100,20
16,5,100,5
16,6,100,30
16,7,100,15
16,8,100,15
16,9,100,15
16,10,100,20
17,1,100,20
17,2,100,20
17,3,100,5
17,4,100,25
17,5,100,25
17,6,100,5
17,7,100,10
17,8,100,20
17,9,100,20
17,10,100,25
18,1,100,20
18,2,100,20
18,3,100,25
18,4,100,15
18,5,100,35
18,6,100,25
18,7,100,10
18,8,100,15
18,9,100,25
18,10,100,15
19,1,100,20
19,2,100,30
19,3,100,5
19,4,100,25
19,5,100,15
19,6,100,25
19,7,100,30
19,8,100,30
19,9,100,5
19,10,100,10
20,1,100,10
20,2,100,15
20,3,100,5
20,4,100,10
20,5,100,30
20,6,100,15
20,7,100,25
20,8,100,30
20,9,100,20
20,10,100,30
